LOD-Artikel;Grondformen;Wuertaart
GEDRENKS1;Gedrénks;Substantiv, Neutrum
GEI2;Gei;Substantiv, Femininum
GEINT1;géint;Prepositioun
GELIFT1;gelift;Partikel
GEMEIS1;Geméis;Substantiv, Neutrum
GEMENG1;Gemeng;Substantiv, Femininum
GENAU1;genau;Adjektiv
GENEE1;genee;Adjektiv
GENIAL1;genial;Adjektiv
GEOGRAFESCH1;geografesch;Adjektiv
GESCHEIEN1;geschéien;Verb
GESCHWESTER1;Geschwëster;Substantiv
GESELLSCHAFTSSPILL1;Gesellschaftsspill;Substantiv, Neutrum
GESOND1;gesond;Adjektiv
GIEL1;giel;Adjektiv
GINN1;ginn;Verb
GINN4;ginn;Verb
GLACE2;Glace;Substantiv, Femininum
GLAICHFALLS1;gläichfalls;Adverb
GLAS1;Glas;Substantiv, Neutrum
GOEN1;goen;Verb
GOLDEG1;goldeg;Adjektiv
GRAD1;Grad;Substantiv, Maskulinum
GRAFF1;graff;Adjektiv
GRAMM1;Gramm;Substantiv, Maskulinum
GRENG1;gréng;Adjektiv
GRING1;gring;Adjektiv
GRIPP1;Gripp;Substantiv, Femininum
GROMPER1;Gromper;Substantiv, Femininum
GROMPEREKICHELCHEN1;Gromperekichelchen;Substantiv, Maskulinum
GRONDSCHOUL1;Grondschoul;Substantiv, Femininum
GROUSS2;grouss;Adjektiv
GROUSSELTEREN1;Grousselteren;Substantiv
GROUSSHERZOG1;Groussherzog;Substantiv, Maskulinum
GROUSSHERZOGIN1;Groussherzogin;Substantiv, Femininum
GROUSSMAMM1;Groussmamm;Substantiv, Femininum
GROUSSPAPP1;Grousspapp;Substantiv, Maskulinum
GRUPP1;Grupp;Substantiv, Maskulinum/Femininum
GUER1;guer;Adverb
GUTT2;gutt;Adjektiv
HAAPTMOLZECHT1;Haaptmolzecht;Substantiv, Femininum
HAAPTPLAT1;Haaptplat;Substantiv, Maskulinum
HAAPTSTAD1;Haaptstad;Substantiv, Femininum
HALLEF1;hallef;Adjektiv
HALS1;Hals;Substantiv, Maskulinum
HAM1;Ham;Substantiv, Femininum
HAMBURGER1;Hamburger;Substantiv, Maskulinum
HANDY1;Handy;Substantiv, Maskulinum
HANDYSNUMMER1;Handysnummer;Substantiv, Femininum
HAR2;Här;Substantiv, Maskulinum
HARIN1;Härin;Substantiv, Femininum
HAUT1;haut;Adverb
HAUTDESDAAGS1;hautdesdaags;Adverb
HEEMFUEREN1;heemfueren;Verb
HEESCHEN1;heeschen;Verb
HEI1;hei;Adverb
HEIANSDO1;heiansdo;Adverb
HELLEFEN1;hëllefen;Verb
HERNO1;herno;Adverb
HIERSCHT1;Hierscht;Substantiv, Maskulinum
